accession	pairwise_score	pairwise_pct	multiple_pct	entropy
PF06725.18	0.5600136285338166	0.30374622101135784	0.43255950631795476	1.7990430341204866
PF00725.28	0.5107198246125745	0.26569604153220816	0.4068233944954128	2.2143490834229245
PF23313.2	1.2414214625968276	0.366156178315168	0.5002314814814814	1.6290690637084286
PF25221.2	0.3936483804488093	0.26002076705443905	0.3892562942336698	1.934324765731802
PF07726.18	2.813694175194567	0.5651477699525878	0.6637372802960222	1.167468263589564
PF09821.15	1.1764269367418838	0.31037720876078484	0.45978494623655913	2.1605397875983843
PF25408.2	0.3480225769837756	0.27836427225169674	0.3885809312638581	1.4308824366185244
PF25520.2	0.9516408115931033	0.3418285727863452	0.46351606805293005	1.6296017581178612
PF22624.2	-0.5364021306545604	0.22609875540862323	0.31489547038327526	1.2634096950215556
PF25158.1	2.871851720854457	0.5885669163678956	0.7145604395604396	1.2280581166229094
PF05270.20	0.8498009238792064	0.32621578294593145	0.45204866702451246	1.6895419049768627
PF27594.1	2.2763898811380416	0.4903737080358087	0.617573483427142	1.4654428139631523
PF13338.13	-0.6616106619063918	0.1610720114984123	0.2660121552127162	2.074057423919601
PF18860.8	-0.28675520558108325	0.21338274756756878	0.3313410925867673	1.7697168504954275
PF21343.3	1.6020135854577695	0.37729326311079503	0.5082926829268293	1.850528831109757
PF24922.1	1.3706617621735295	0.39667737833586597	0.5207457983193278	1.551309639683218
PF21385.3	2.8054480980012895	0.5357613856163179	0.6640840220385675	1.3728978421151583
PF28347.1	0.8336343345252386	0.36201065719596354	0.47626666666666667	1.3651035474414082
PF09290.17	1.514324743591291	0.45022355289594523	0.5577464788732395	1.2834567781117199
PF13527.14	-0.7298137109694962	0.15488211479864414	0.26050317537860285	1.9693445851000213
PF28338.1	1.8072658889217261	0.3883714312983091	0.5176556243174372	1.7879600093524242
PF28406.1	0.3569175456602818	0.25902913898300556	0.3819951338199513	1.9506660688441515
PF01989.25	-0.03892603248427932	0.23950200236098362	0.3592990182585558	1.7279796946114738
PF21646.4	-0.11930097048764574	0.26430257220655207	0.35698324022346367	1.4057957749236076
PF10000.16	0.630007038008606	0.30166743635937754	0.4194613821138211	1.8457346947450846
PF13291.13	0.1551480380433588	0.18561480831331778	0.2955266955266955	2.469841351339896
PF24926.2	0.3648087175701269	0.37961052646550325	0.4565793347070945	0.8328354764857463
PF22629.3	0.8218333081867916	0.3271879511211093	0.4536938847649346	1.5906801801903776
PF21086.4	1.291415551273886	0.43177158421659306	0.534860803153486	1.1397982536838087
PF21263.3	-0.33363259713799304	0.2667099743871817	0.3582260074781886	1.1342770752496822
PF00441.30	-0.27696848680559616	0.18192096832371343	0.312251578209025	2.3028184944031036
PF21299.3	-0.07215330789812824	0.2539662423294149	0.33662790697674416	1.45654486711684
PF17771.7	-0.7273891640036558	0.19016249044436903	0.2649425287356322	1.5157531502987036
PF05986.20	0.41806215658451107	0.2616618592775804	0.4033290653008963	1.898585354850616
PF27521.1	1.871253288195369	0.3976500798569395	0.5076923076923077	1.5310719044305547
PF25387.2	1.5459789466701612	0.3516165350875922	0.4732103645147123	1.947361598876912
PF25379.2	0.5844079534532709	0.30347074921379863	0.40226685225690995	1.3365277145010093
PF27236.1	-0.6430396498419113	0.1819257381669972	0.2735906862745098	1.6500449344828725
PF21994.2	0.8131202489727103	0.3563246637925886	0.4846441947565543	1.5005571940282312
PF25117.1	1.3687952093542297	0.4073309651591458	0.5263605442176871	1.2015430949320909
PF24858.2	0.9133758398464281	0.347696421225833	0.4617132867132867	1.3930086384839815
PF28140.1	-1.8334494733162556	0.17625554377615973	0.2333822091886608	0.5164285477344023
PF18134.8	-0.25001983463388755	0.22656024338325279	0.34542467138523764	1.6837615903641563
PF21568.4	-0.9550381844828586	0.21891454925396064	0.3071676587301587	1.0417975034389129
PF26649.1	0.30410736823891793	0.2660292108314101	0.37547662050973307	1.7155218419927283
PF27598.1	-0.4680170577057002	0.24435706579941951	0.35294964028776976	1.3032080095308567
PF01918.28	-1.1013604283854883	0.14199794136660096	0.24851042701092355	1.8145582667854383
PF27981.1	0.0023109973830347627	0.32709195849598777	0.41212606837606836	0.9103240153301719
PF24890.2	2.0962716450837537	0.4896065484427769	0.5967741935483871	1.2499496231127032
PF07821.19	-0.2625226078861641	0.24644652257540675	0.34342105263157896	1.3353778768345923
PF09261.17	-0.18598720974619462	0.21598019690326492	0.33114754098360655	2.0570854510064445
PF16541.11	-0.9222534269358948	0.16720684684430617	0.2869114126097366	1.7490583481046356
PF10423.16	0.8446582797308203	0.31360561853244495	0.43667970447631466	1.9027659723823485
PF23024.2	-0.004155430430419636	0.2540977288532353	0.35884410393071287	1.468322638786461
PF25823.2	1.7120509442642096	0.4388812668660785	0.5468309491490028	1.4257831485068837
PF08672.18	1.0953844295892383	0.3305576440711637	0.4658777120315582	2.001886595138506
PF25443.2	1.529212446725113	0.41778801572099133	0.5408163265306123	1.5631561738017703
PF02520.23	0.43091773199286554	0.2223952440973694	0.35938934802571165	2.311109241800978
PF27687.1	-0.05546548856316974	0.2862832502631069	0.38242368177613323	1.1134364948670292
PF21137.4	0.48826072510518437	0.30263306734575596	0.4095928226363009	1.3542852428032872
PF00847.27	-0.5692570971824156	0.19170482915529005	0.32175925925925924	1.9749170714711344
PF01333.26	1.652317797278896	0.46752932506263717	0.5726134585289515	1.1531733691156665
PF21144.3	0.4802033679191333	0.30678747721185656	0.4359616801768607	1.716672231252417
PF02311.26	-1.0948232051687206	0.1097023159130129	0.21306106723174725	2.460835317031809
PF11728.14	0.8677445108098267	0.2742336232969729	0.4126538255751739	2.1863492008472716
PF21972.2	0.795403490657503	0.32528393252391374	0.4445819581958196	1.5978883846469012
PF13355.13	-0.13028703153100032	0.20926809342538047	0.32184873949579834	1.9207586826523309
PF06507.20	1.540059970423674	0.3871138233522946	0.5018092105263158	1.6218327104191939
PF17944.7	0.9924895314630823	0.27094190974254434	0.4155982905982906	2.358515329753587
PF17810.7	0.05626385400196468	0.21350972735365709	0.3320910973084886	2.0389106380097832
PF18938.7	-0.2118634796763604	0.2313031002271524	0.3377272727272727	1.6801306178440156
PF17293.9	-1.5325972353826611	0.11234467323020952	0.21405529953917052	1.7582544035020424
PF27652.1	1.2303798769211929	0.3894588650919492	0.5149071358748778	1.5417724424981045
PF17886.8	-0.5604402401610259	0.19446222067256722	0.2921747967479675	1.6083166440016523
PF18084.7	-0.00716273504522582	0.23990470158189087	0.35320216049382713	1.8573950664683312
PF21198.4	1.3037238608225121	0.3788060433403041	0.4935593220338983	1.532994534902433
